сontext;quote
"(?<=[ \n\t])""(?=\w+?)";«
"(?<=\()""(?=\w+?)";«
"(?<=\w-)""(?=\w+?)";«
"(?<=[ \n\t])""(?=…\w+?)";«
"(?<=\()""(?=…\w+?)";«
"(?<=\w)""(?=[ \n])";»
"(?<=\w)""(?=[.,:;])";»
"(?<=\w)""(?=\))";»
"(?<=\w)""(?=!)";»
"(?<=\w)""(?=\?)";»
"(?<=\w)""(?=… )";»
"(?<=!)""(?=[ \n])";»
"(?<=!)""(?=[.,:;])";»
"(?<=!)""(?=\))";»
"(?<=!)""(?=\?)";»
"(?<=!)""(?=… )";»
"(?<=\?)""(?=[ \n])";»
"(?<=\?)""(?=[.,:;])";»
"(?<=\?)""(?=\))";»
"(?<=\?)""(?=!)";»
"(?<=\?)""(?=… )";»
"(?<=…)""(?=[ \n])";»
"(?<=…)""(?=[.,:;])";»
"(?<=…)""(?=\))";»
"(?<=…)""(?=!)";»
"(?<=…)""(?=\?)";»
"(?<=…)""(?=… )";»
"(?<=\*)""(?=[ \n])";»
"(?<=\*)""(?=[.,:;])";»
"(?<=\*)""(?=\))";»
"(?<=\*)""(?=!)";»
"(?<=\*)""(?=\?)";»
"(?<=\*)""(?=… )";»
"(?<=\))""(?=[ \n])";»
"(?<=\))""(?=[.,:;])";»
"(?<=\))""(?=\)) ";»
"(?<=\))""(?=!)";»
"(?<=\))""(?=\?)";»
"(?<=\))""(?=… )";»
"(?<=[ \n])""""(?=\w+?)";««
"(?<=[ \n])""""(?=…\w+?)";««
"(?<=\()""""(?=\w+?)";««
"(?<=\()""""(?=…\w+?)";««
"(?<=\w)""""(?=[ \n])";»»
"(?<=\w)""""(?=[.,])";»»
"(?<=!)""""(?=[ \n])";»»
"(?<=!)""""(?=[.,])";»»
"(?<=\?)""""(?=[ \n])";»»
"(?<=\?)""""(?=[.,])";»»
"(?<=…)""""(?=[ \n])";»»
"(?<=…)""""(?=[.,])";»»
"(?<=\*)""""(?=[ \n])";»»
"(?<=\*)""""(?=[.,])";»»
"(?<=\))""""(?=[ \n])";»»
"(?<=\))""""(?=[.,])";»»
"^""(?=\w+?)";«
"^""(?=…\w+?)";«
"""$";»
